"wave" "response"
7250 0
7300 2e-04
7350 0.0013
7400 0.0064
7450 0.0241
7500 0.0689
7550 0.1533
7600 0.2705
7650 0.3911
7700 0.4831
7750 0.5356
7800 0.5569
7850 0.5635
7900 0.565
7950 0.5655
8000 0.5662
8050 0.5687
8100 0.5716
8150 0.5746
8200 0.5777
8250 0.5809
8300 0.5828
8350 0.5844
8400 0.5863
8450 0.5883
8500 0.5911
8550 0.595
8600 0.5991
8650 0.6039
8700 0.608
8750 0.6126
8800 0.617
8850 0.6213
8900 0.6254
8950 0.6288
9000 0.6317
9050 0.6347
9100 0.6373
9150 0.6395
9200 0.6412
9250 0.642
9300 0.6423
9350 0.6424
9400 0.6415
9450 0.6396
9500 0.6346
9550 0.6224
9600 0.5957
9650 0.5449
9700 0.4659
9750 0.363
9800 0.2526
9850 0.1541
9900 0.0812
9950 0.0367
10000 0.0141
10050 0.0046
10100 0.0012
10150 3e-04
10200 1e-04
10250 0
